Comment ID,Item ID,Shop ID,Username,Comment,Rating Star,User Name,Anonymous,Region,Item Name
5172417451,6907023178,195450779,lacey.jogja,"Packingnya gemesssss bgt pakek box kecil unyu,  meskipun cuma orde 2 pcs,  aku udah abisin lemon 1 dan strawberry 1 tp lum ada efek bgt di aku,  cuma memang enak pas dipakek,  wanginya hmmm segerr wangi enak pisan, habis maskeran  lebih cerah seketika tapi utk bekas jerawat belum memudar huhu",5,lacey.jogja,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5522268816,6907023178,195450779,n*****n,"Daya serap:bagus
Efektivitas:bagus
Kenyamanan:amat bagus

Pertama kali coba karna rame bagt di tiktok, alhamdulilah dapet dong akhirnya. Beli yg coklat sama stawberry. Yang coklat baunya bener bener enak bgt coklat bgt baunyaaaa, yang strawberry jugaaa ga kalah wangii enak bagt pokoknya. Harganya juga lumayan murah tapi kualitas okee bgtt. Bener2 recomend",5,n*****n,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5398531922,6907023178,195450779,nezzmelati18,"Daya serap:cepat dan mantap
Efektivitas:bagus
Kenyamanan:nyaman bngt si parah

Baru smlm dikirim dan skrg udh smpe, tpi sedih si trnyata ga di pakein box camille nya:( Pdhl pngen bngt pnya box camille huhu. 
Tapi gpp, walaupun ga pke box camille, packing ny ttep rapi bngt.. 
Aku pake ini udh dri taun lalu, dan bisa diliat before after ny 1x pke aja udh nyerahin bngt🥰",5,nezzmelati18,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5797833322,6907023178,195450779,ssasaa04,"Daya serap:cepat
Efektivitas:baik
Kenyamanan:untuk semua all varian alhamdulillah cocok semua 💘💘

masker terampuh untuk masalah d muka ak makanya restock bnyk , gatau ini pembelian kebrp yg intiny msih ad yg blm dtng , semua varian cocok smua d aku 😭💘 , walaupun msih bnyk yg blm abis but ak restock lg tkut kehabisan , packingny aman juga , luvv bgt intinya .. thank uu!!💘💘",5,ssasaa04,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5191775806,6907023178,195450779,s*****u,"pengemasan cepat, pengiriman cepat, packing aman menggunakan dus pokonya worth it untuk belanja di toko ini thankyou seller🤩pengemasan cepat, pengiriman cepat, packing aman menggunakan dus pokonya worth it untuk belanja di toko ini thankyou seller🤩pengemasan cepat, pengiriman cepat, packing aman m",5,s*****u,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5429374017,6907023178,195450779,i*****2,"Daya serap:Belum tau, baru pertama kali beli masker ini
Efektivitas:Baik
Kenyamanan:Bagus, kemasannya lucu, packaging rapi

Beli masker ini waktu 7.7, dikirim tanggal 17 sampe rumah dengan aman di tanggal 18. Pengemasan rapi dilapisi bubble wrap dan plastik tebal jadinya, cuma karena Pre Order harus sabar nunggu masker nya dikirim, harga terjangkau, semoga cocok di wajah aku. Sukses terus camille dan makasih pak kurir.",5,i*****2,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5825465158,6907023178,195450779,_*****_,"Daya serap:bagus bgt!!!!
Efektivitas:aku kasih bintang 5 ⭐️⭐️⭐️⭐️⭐️
Kenyamanan:wangi nya enak enak semua!! 

Perjuangan banget buat checkout camille ini, aku beli alhamdulilah selalu kedapetan dari 7.7 bulan lalu 25 mantul sale 17 agustus dan seterusnya sampe sekarang🤩 
alhamdulillah nya juga aku cocok pakai camille ini💜 thankyouu pesananku selalu lengkap dan dipacking safety🙆🏼‍♀️💜",5,_*****_,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5297444829,6907023178,195450779,t*****2,"Harga:mumer
Kualitas:the best!!
Efektivitas:belum aku pakai tapi semoga cocok

terimakasih ya packaging nya lucuuu padahal beli cuma 1 tapi tetep pke box bubble wrap nya super tebal!!!",5,t*****2,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5584601118,6907023178,195450779,haziratul_qudsi,"Daya serap:lumayann
Efektivitas:bagussss
Kenyamanan:nayamm bet wangii

Baik semua nyaaa sekali pemakaian juga keliatan hasil, tapi refund ku yg pemesanan sebelumnya blm d proses dan lagi gak bisa d krim Vidio unboxing di linknya, udh aku kasih tau alasan ke adminnya blm ada respond juga😭",5,haziratul_qudsi,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5804619908,6907023178,195450779,a*****_,"Daya serap:cepat menyerap
Efektivitas:menghilangkan bekas jerawat
Kenyamanan:nyaman bgt

Pdahal aku coba varian coffee merk lain ngga cocok, malah merah² dah gatel, dan ternyata pke camille cocok, udh gitu wangi nya jga enak bgt. Dan buat yg varian coklat pdhal wangi nya enak bgt, tpi di aku malah gatel² dan merah², tpi itu baru pertama kli pkai. Untuk varian yg lain cocok alhamdulillah",5,a*****_,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
